subject,vote,pro,against
Benoeming van de heer R. Rijpers als burgercommissielid voor de fractie GroenLinks,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie terughoudendheid met handhaving van de coronapas,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming van de heer G. van Vught als burgercommissielid voor de fractie Helder Helmond,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Wijziging gemeenschappelijke regeling VRBZO Raadsvoorstel 63,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Wijziging gemeenschappelijke regeling MRE Raadsvoorstel 64,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
"Plan voor de versteviging van de aanpak van leefbaarheid en veiligheid ""Verder bouwen aan een leefbaar en veilig Helmond"" Raadsvoorstel 69",unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie geluidsbelasting,unaniem aangenomen,"VVD, GroenLinks, 50PLUS, D66, Lokaal sterk, Helder Helmond, Helmond Aktief, SP, CDA, BachPlus, ",
Procedure wensen en bedenkingen inzake deelneming in BrabantRing BV Raadsvoorstel 70,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Vaststelling BP Stiphout – Herz. Geeneind 10 Raadsvoorstel 66,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Vaststelling BP Brandevoort Oost – Geldropseweg Ventweg 20 Raadsvoorstel 67,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
16. Actualisatie Parkeerbeleid Raadsvoorstel 68,aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","plan!, Mi Hellemonders, "
